Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,Country,CountryFull,StreetAddress,City,State,StateFull,ZipCode,EmailAddress,Username,TelephoneNumber,TelephoneCountryCode,Birthday,Age,TropicalZodiac,NationalID,Occupation,Company
11,female,American,Mrs.,Thea,J,Comstock,GB,"United Kingdom","98 St Denys Road",PORTSLOGAN,,,"DG9 5LF",TheaJComstock@teleworm.us,Plathe,"070 5587 7051",44,8/6/1964,54,Leo,"MR 03 80 72","Power dispatcher","The White Swan"
12,male,American,Mr.,Hubert,J,Handy,GB,"United Kingdom","77 Greyfriars Road",CARDONESS,,,"DG7 0NQ",HubertJHandy@fleckens.hu,Henceld,"077 4914 6762",44,9/20/1942,76,Virgo,"MC 31 59 41 A","Electronic publisher","Kiddie City"
13,male,American,Mr.,Ignacio,E,Cook,GB,"United Kingdom","20 Hounslow Rd",SMISBY,,,"LE65 3UH",IgnacioECook@fleckens.hu,Brarms,"077 1721 7445",44,6/16/1977,42,Gemini,"ZE 20 09 35 A","Education administrator","PriceRite Warehouse Club"
14,female,Arabic,Ms.,Buthayna,B,Mustafa,GB,"United Kingdom","87 Monks Way",TORNAHAISH,,,"AB36 4PJ",ButhaynaBusrMustafa@cuvox.de,Dozence,"078 3225 9097",44,11/1/1947,71,Scorpio,"LZ 09 27 40 A","Health educator","You Are Successful"
15,female,Arabic,Ms.,Ishfaq,U,Aswad,GB,"United Kingdom","89 Ivy Lane",WANSFORD,,,"YO25 2NG",IshfaqUmaymahAswad@teleworm.us,Camprow,"079 8273 3972",44,8/19/1933,85,Leo,"BM 42 22 34 D","Content editor","Landskip Yard Care"
16,male,American,Mr.,Eugene,B,Jensen,GB,"United Kingdom","61 Castledore Road",TWECHAR,,,"G65 8FP",EugeneBJensen@teleworm.us,Forrounce56,"070 4841 7043",44,6/30/1956,63,Cancer,"NX 33 71 65 C",Conciliator,Strawberries
17,female,American,Ms.,Kristina,E,Robinson,GB,"United Kingdom","9 Argyll Street",STALYBRIDGE,,,"SK15 0TU",KristinaERobinson@einrot.com,Andla1984,"078 5676 8114",44,2/7/1984,35,Aquarius,"JL 52 57 07 C","Claims investigator","Locost Accessories"
18,female,American,Mrs.,Wendy,C,Asher,GB,"United Kingdom","18 North Promenade","DOWLISH WAKE",,,"TA19 9NF",WendyCAsher@gustr.com,Forrithas,"078 7119 2351",44,3/11/1974,45,Pisces,"TW 06 39 44","Range conservationist","Allied Radio"
19,female,England/Wales,Ms.,Keira,J,Barton,GB,"United Kingdom","30 Hart Road",NORTON,,,"IP31 4UF",KeiraBarton@rhyta.com,Gines1937,"078 1036 0360",44,10/18/1937,81,Libra,"EL 97 15 89 D","Slot key person","Record Town"
20,female,Arabic,Mrs.,Rana,,Bata,GB,"United Kingdom","50 Ploughley Rd",TOMBRECK,,,"IV1 8LN",RanaAfraBata@superrito.com,Flar1961,"079 7810 1269",44,8/13/1961,57,Leo,"OM 75 13 70 D","Safety specialist",Sportmart
21,male,American,Mr.,John,M,Abreu,GB,"United Kingdom","40 Baldock Street",NIGHTCOTT,,,"TA22 2ZE",JohnMAbreu@armyspy.com,Pagel1972,"077 2003 1995",44,5/30/1972,47,Gemini,"WZ 55 04 26 D","Range ecologist",Tweeter
22,male,American,Mr.,Richard,L,Hamilton,GB,"United Kingdom","85 Newgate Street",KEESTON,,,"SA62 8TS",RichardLHamilton@rhyta.com,Dadogiag,"070 3211 9916",44,11/2/1976,42,Scorpio,"KM 47 40 45 D","Accounts payable clerk",Afterthoughts
23,female,American,Ms.,Lisa,T,Davis,GB,"United Kingdom","88 Spilman Street","GRAMPOUND ROAD",,,"TR2 5NB",LisaTDavis@teleworm.us,Divening,"077 6942 6927",44,4/29/1997,22,Taurus,"TG 42 19 99 C","Regional planner","Total Sources"
24,female,England/Wales,Mrs.,Paige,J,Hall,GB,"United Kingdom","50 High Street",ASHAMPSTEAD,,,"RG8 6YR",PaigeHall@superrito.com,Whoint,"070 2932 6753",44,5/25/1988,31,Gemini,"GM 00 51 43 A",Neurosonographer,"Megatronic Plus"
25,female,American,Ms.,Mary,M,Dixon,GB,"United Kingdom","21 Prince Consort Road","KEMEYS COMMANDER",,,"NP5 2HJ",MaryMDixon@fleckens.hu,Therned,"070 0432 9277",44,1/13/1959,60,Capricorn,"NA 93 43 33","Fine artist","Maxiserve "
26,male,Arabic,Mr.,Awwab,,Handal,GB,"United Kingdom","94 Simone Weil Avenue",WATTON,,,"IP25 4RX",AwwabAmroHandal@armyspy.com,Placts,"078 6543 8230",44,4/22/1982,37,Taurus,"CW 87 81 85 A","Coil winder","Suncoast Video"
27,male,American,Mr.,Daniel,V,Day,GB,"United Kingdom","74 Chapel Lane",ASCREAVIE,,,"DD8 2AH",DanielVDay@cuvox.de,Feas1995,"077 0766 7673",44,7/23/1995,23,Leo,"XT 19 23 17 C","Mathematical statistician","Greenwich IGA"
28,male,England/Wales,Mr.,Andrew,A,Lord,GB,"United Kingdom","72 Grenoble Road",BREAN,,,"TA8 3EJ",AndrewLord@jourrapide.com,Inihis1955,"078 7071 0348",44,1/28/1955,64,Aquarius,"LK 46 32 81 C","Ratings analyst","Crazy Tiger"
29,male,Arabic,Mr.,Nasih,B,Daher,GB,"United Kingdom","98 Petworth Rd",DYFFRYN,,,"SA64 0NB",NasihBahaalDinDaher@fleckens.hu,Emptiou,"070 0315 4478",44,5/3/1959,60,Taurus,"MN 37 31 33 A","Marine oiler","Courtesy Hardware Store"
30,male,American,Mr.,William,M,Nipp,GB,"United Kingdom","85 Dover Road",WESTCOTT,,,"EX15 0GG",WilliamMNipp@dayrep.com,Thall1943,"070 6183 3231",44,10/2/1943,75,Libra,"HR 67 61 63 C","Family services social worker",Netaid
31,female,England/Wales,Ms.,Francesca,J,Watts,GB,"United Kingdom","70 St Denys Road",POTTERTON,,,"AB23 1TP",FrancescaWatts@fleckens.hu,Lork1955,"070 1199 0200",44,3/1/1955,64,Pisces,"JX 48 33 08 C","Allopathic physician",Romp
32,male,American,Mr.,David,J,Hunter,GB,"United Kingdom","34 Park Place",CARRIDEN,,,"EH51 2HE",DavidJHunter@superrito.com,Mong1981,"077 4244 8198",44,5/23/1981,38,Gemini,"HB 87 82 09 D","Medical appliance technician","Sound Warehouse"
33,female,England/Wales,Mrs.,Amy,L,Horton,GB,"United Kingdom","1 Golden Knowes Road",FREMINGTON,,,"EX31 0EF",AmyHorton@teleworm.us,Oned1995,"079 7858 1257",44,7/29/1995,23,Leo,"ER 76 42 99 D","Transmission rebuilder","Bumper to Bumper Auto Parts"
34,male,Arabic,Mr.,Sa'd,A,Masih,GB,"United Kingdom","46 Abbey Row","NORTON CANES",,,"WS11 7AY",SadAbdul-MuqaddimMasih@jourrapide.com,Fromed,"070 3438 5154",44,7/29/1966,52,Leo,"EL 83 78 69 C","Oral and maxillofacial surgeon","Pace Membership Warehouse"
35,male,Arabic,Mr.,Farraj,,Dagher,GB,"United Kingdom","16 Seaford Road",CULBURNIE,,,"IV4 4DF",FarrajAkifDagher@armyspy.com,Evout1947,"070 4803 0145",44,1/23/1947,72,Aquarius,"AT 82 75 00 A","Image designer","Channel Home Centers"
36,male,Arabic,Mr.,Ayoob,M,Malouf,GB,"United Kingdom","83 Haslemere Road","EASTON ROYAL",,,"SN9 2PX",AyoobMazharMalouf@gustr.com,Herestow,"077 1069 6135",44,3/25/1969,50,Aries,"EP 00 08 27 B","Employment, recruitment, and placement specialist","White Coffee Pot"
37,female,England/Wales,Ms.,Abbie,A,Metcalfe,GB,"United Kingdom","36 Traill Street","ROSE GREEN",,,"CO6 0TD",AbbieMetcalfe@rhyta.com,Onfordonce,"077 8679 2382",44,8/4/1944,74,Leo,"RH 62 17 99 B","Chiropractic physician","Architectural Genie"
38,male,American,Mr.,Herbert,M,Custer,GB,"United Kingdom","2 Caradon Hill","TYDD ST GILES",,,"PE13 5LD",HerbertMCuster@superrito.com,Thaddled,"070 3985 9157",44,12/11/1960,58,Sagittarius,"PE 35 97 71","Health services manager","Solution Answers"
39,female,Arabic,Mrs.,Ameera,A,Wasem,GB,"United Kingdom","5 City Walls Rd",CLIFTON,,,"CA10 6AF",AmeeraAkilahWasem@gustr.com,Arinalwas1948,"070 0172 0776",44,2/24/1948,71,Pisces,"CS 97 62 60 A","Ballet master",Opti-Tek
40,male,England/Wales,Mr.,Owen,M,White,GB,"United Kingdom","76 Glandovey Terrace",TRESCOWE,,,"TR20 2LP",OwenWhite@fleckens.hu,Diewhou,"070 6339 6449",44,9/19/1960,58,Virgo,"PP 01 05 37 D","Hand packer","Paul Harris"
41,male,American,Mr.,Adrian,S,Jackson,GB,"United Kingdom","20 Manor Way","GREAT HABTON",,,"YO17 3TZ",AdrianSJackson@gustr.com,Cones1933,"079 1844 0365",44,9/11/1933,85,Virgo,"OT 61 06 40 A",Physician,"Forest City"
42,male,American,Mr.,Ramon,H,Wanamaker,GB,"United Kingdom","65 Terrick Rd",EGGERNESS,,,"DG8 9NS",RamonHWanamaker@teleworm.us,Thearegaven,"078 3079 3888",44,11/29/1990,28,Sagittarius,"WK 57 08 31 D","Gate agent","Omni Source"
43,male,Arabic,Mr.,Abdul-Mu'id,S,Nahas,GB,"United Kingdom","76 Whitby Road",DENNINGTON,,,"IP13 6SQ",Abdul-MuidShafiNahas@rhyta.com,Greped,"070 7726 4204",44,3/24/1977,42,Aries,"WM 46 70 33 B","Personnel officer","Holly Tree Inn"
44,male,American,Mr.,Danny,A,Vigil,GB,"United Kingdom","60 Prestwick Road",INVERDRUIE,,,"PH22 8BA",DannyAVigil@dayrep.com,Twerybould,"079 4031 5172",44,4/23/1956,63,Taurus,"AH 31 99 95 A","Gaming manager",Stratacard
45,male,Arabic,Mr.,Zafar,L,Srour,GB,"United Kingdom","42 Stroud Rd","OLD ABERDEEN",,,"AB2 0QE",ZafarLubaidSrour@jourrapide.com,Rectudid,"077 0416 9550",44,6/10/1983,36,Gemini,"TW 29 29 31 C","Cardiopulmonary technologist",
46,female,American,Ms.,Mary,M,Greene,GB,"United Kingdom","26 Seafield Place",FOURPENNY,,,"IV25 4JL",MaryMGreene@armyspy.com,Nabowle1999,"077 5233 3170",44,1/4/1999,20,Capricorn,"YY 00 22 05 C","Labor economist","Buck Alley Lumber"
47,male,Arabic,Mr.,"Ala' al Din",A,Daher,GB,"United Kingdom","26 Ockham Road","EAST ORD",,,"TD15 1SW",AlaalDinAbdul-NasserDaher@teleworm.us,Ineircied,"078 8105 0766",44,9/6/1962,56,Virgo,"TZ 36 87 07","Nursery and greenhouse manager","Wise Solutions"
48,female,England/Wales,Ms.,Kayleigh,D,Dale,GB,"United Kingdom","51 Walwyn Rd",CHARLTON,,,"SG5 9SN",KayleighDale@teleworm.us,Anderfarom,"077 7496 2079",44,10/23/1990,28,Scorpio,"GJ 90 08 75","Vending machine servicer","You Are Successful"
49,male,Arabic,Mr.,Ayham,N,Hakimi,GB,"United Kingdom","57 Osborne Road",KINGOODIE,,,"DD2 4LA",AyhamNajmalDinHakimi@rhyta.com,Stals1953,"077 3103 9219",44,12/15/1953,65,Sagittarius,"WK 14 45 08","Streetcar operator","All Wound Up"
50,male,England/Wales,Mr.,Samuel,S,Leach,GB,"United Kingdom","12 Wrexham Road",FEARNHEAD,,,"WA2 4EH",SamuelLeach@rhyta.com,Stily1996,"077 8453 8960",44,12/27/1996,22,Capricorn,"RJ 02 22 59","Elevator mechanic","S&W Cafeteria"
51,male,American,Mr.,Phillip,W,Hart,GB,"United Kingdom","51 Colorado Way",RHIWDERIN,,,"NP1 1TJ",PhillipWHart@rhyta.com,Exced1984,"077 1881 6364",44,5/18/1984,35,Taurus,"KB 10 32 61 A",Paymaster,Huyler's
52,male,Arabic,Mr.,Badri,A,Shamoun,GB,"United Kingdom","57 Southend Avenue",BLACKTOFT,,,"DN14 4SY",BadriAbualKhayrShamoun@armyspy.com,Tworks,"078 6263 2472",44,9/25/1940,78,Libra,"XP 95 73 60 C","Poultry scientist",Perisolution
53,male,England/Wales,Mr.,Michael,A,Kent,GB,"United Kingdom","22 Hendford Hill",MOSS-SIDE,,,"IV12 6SN",MichaelKent@dayrep.com,Halmot43,"070 3986 4688",44,5/4/1943,76,Taurus,"MS 24 46 48 C","Nursing aide","Custom Lawn Care"
54,female,England/Wales,Mrs.,Amy,R,Mitchell,GB,"United Kingdom","66 Quay Street",NEDD,,,"IV27 0QX",AmyMitchell@fleckens.hu,Cied1949,"079 8399 4762",44,9/25/1949,69,Libra,"CG 39 41 74 C","Decontamination technician","Star Merchant Services"
55,male,American,Mr.,Earl,L,Walston,GB,"United Kingdom","79 Brackley Road",TIMSBURY,,,"SO51 0UQ",EarlLWalston@superrito.com,Forompares1985,"070 6143 7061",44,12/11/1985,33,Sagittarius,"ZR 45 20 47 C","Chief engineer","Sun Foods"
56,male,Arabic,Mr.,Khaleel,G,Cham,GB,"United Kingdom","67 St Dunstans Street",WARNINGLID,,,"RH17 7UY",KhaleelGhiyathCham@teleworm.us,Thiltheat75,"070 2273 0561",44,9/24/1975,43,Libra,"OT 49 97 91","Heat treating equipment setter",Incluesiv
57,male,Arabic,Mr.,Rayhan,S,Haddad,GB,"United Kingdom","34 North Promenade",DOWALLY,,,"PH9 0JE",RayhanShuaybHaddad@einrot.com,Quot1956,"077 8385 0303",44,2/2/1956,63,Aquarius,"KY 06 91 93 B","Landscaping worker","Good Guys"
58,female,American,Mrs.,Teresa,O,Sapp,GB,"United Kingdom","73 Osborne Road",KILTARLITY,,,"IV4 0EG",TeresaOSapp@superrito.com,Thossed,"078 8690 8447",44,4/13/1946,73,Aries,"SL 91 06 53 D","Executive housekeeper","Nutri G"
59,female,Arabic,Ms.,Hawa',H,Antar,GB,"United Kingdom","93 Town Lane","SOUTH GODSTONE",,,"RH9 3SX",HawaHamdiyahAntar@einrot.com,Thislem,"070 6907 3100",44,4/9/1991,28,Aries,"RM 55 04 29","Purchase-and-sales clerk","Tam's Stationers"
60,female,England/Wales,Mrs.,Ruby,D,Griffiths,GB,"United Kingdom","53 Thornton St",HUNGARTON,,,"LE7 1EJ",RubyGriffiths@superrito.com,Cogn1965,"077 7131 0148",44,8/18/1965,53,Leo,"MT 88 67 37 A",Epidemiologist,"Wherehouse Music"
61,female,American,Mrs.,Marilyn,R,Jordon,GB,"United Kingdom","33 Scarcroft Road","PORTH COLMON",,,"LL53 5LB",MarilynRJordon@superrito.com,Efored,"078 3181 1058",44,9/21/1955,63,Virgo,"GY 31 32 41","Substance abuse social worker","Our Own Hardware"
62,male,Arabic,Mr.,Zaid,N,Aswad,GB,"United Kingdom","96 Argyll Street",STABLEFORD,,,"ST5 3TT",ZaidNumairAswad@gustr.com,Firetry,"078 8679 1580",44,6/3/1936,83,Gemini,"BN 99 58 75 B",Manager,"Sound Advice"
63,female,Arabic,Ms.,A'dab,,Quraishi,GB,"United Kingdom","94 Ballifeary Road",BALNAGALL,,,"IV20 0NY",AdabIdharQuraishi@cuvox.de,Offichat,"077 4529 3298",44,11/22/1946,72,Sagittarius,"OT 89 14 95 C","Artificial inseminator",StopGrey
64,female,American,Mrs.,Cherrie,P,Butkovich,GB,"United Kingdom","40 Ermin Street",WYKEY,,,"SY4 2JJ",CherriePButkovich@cuvox.de,Woothe1956,"078 2938 6093",44,10/28/1956,62,Scorpio,"OC 28 88 36 A",Appraiser,Netaid
65,female,England/Wales,Ms.,Harriet,W,Rees,GB,"United Kingdom","83 Iolaire Road","NEW INN",,,"NP4 2AJ",HarrietRees@armyspy.com,Clumpost,"079 6165 8700",44,5/4/1998,21,Taurus,"OG 50 06 96 C","Manufacturing optician","Copeland Sports"
66,female,American,Ms.,Jacqueline,L,Timmons,GB,"United Kingdom","91 Colorado Way",RHUMACH,,,"PH39 3LS",JacquelineLTimmons@einrot.com,Usdeouster,"070 4439 6627",44,3/1/1939,80,Pisces,"RA 95 03 03 A","ESL teacher","Family Toy"
67,male,Arabic,Mr.,Shumayl,N,Asghar,GB,"United Kingdom","91 Iolaire Road","NEW CHERITON",,,"SO24 5SE",ShumaylNuhaydAsghar@teleworm.us,Derpromed,"078 0480 3534",44,8/25/1960,58,Virgo,"JY 49 95 85","Activity specialist","Listen Up"
68,female,American,Ms.,Pearl,M,Robinson,GB,"United Kingdom","58 Moulton Road",GUMLEY,,,"LE16 7UL",PearlMRobinson@superrito.com,Wassied,"079 4029 9351",44,12/23/1970,48,Capricorn,"BT 14 18 77","Publications specialist","Penn Fruit"
69,female,American,Ms.,Nora,D,Sims,GB,"United Kingdom","16 Ash Lane",YOULSTONE,,,"EX23 7DE",NoraDSims@dayrep.com,Therstrand,"077 1809 4599",44,8/20/1935,83,Leo,"AZ 70 48 74 D",Examiner,"Dreamscape Garden Care"
70,male,American,Mr.,Justin,J,Gentile,GB,"United Kingdom","25 Fosse Way",ARDOYNE,,,"AB52 0QA",JustinJGentile@cuvox.de,Kire1984,"078 0773 0115",44,1/12/1984,35,Capricorn,"GN 01 14 53 A","Pediatric dentist","Pantry Food Stores"
71,male,England/Wales,Mr.,Dominic,J,Harvey,GB,"United Kingdom","82 St Omers Road",HITCHIN,,,"SG4 9LY",DominicHarvey@teleworm.us,Pectich1952,"077 1801 8271",44,12/1/1952,66,Sagittarius,"SN 37 70 78 A","Coin, vending, and amusement machine servicer","Advansed Teksyztems"
72,female,England/Wales,Ms.,Emma,K,Dale,GB,"United Kingdom","75 East Street",MARCHWIEL,,,"LL13 0BR",EmmaDale@dayrep.com,Mitter,"079 1073 4688",44,7/8/1961,57,Cancer,"TM 08 08 88 C","Log debarker","Alert Alarm Company"
73,female,American,Ms.,Jodie,L,Tardiff,GB,"United Kingdom","24 Crescent Avenue",DUDLEY,,,"NE23 6YN",JodieLTardiff@rhyta.com,Wifecarthe,"078 2145 5468",44,2/1/1999,20,Aquarius,"KH 10 28 97 B","Compensation manager","Grand Union"
74,female,American,Ms.,Melody,M,Taylor,GB,"United Kingdom","8 Hexham Road",INVERSHIEL,,,"IV40 5QR",MelodyMTaylor@cuvox.de,Evere1953,"077 8652 7994",44,8/22/1953,65,Leo,"JZ 12 59 51 D","Cost/investment recovery technician",Handyman
75,female,Arabic,Mrs.,Musnah,S,Rahal,GB,"United Kingdom","24 Scotsburn Rd",TAFARN-Y-BWLCH,,,"SA41 5UD",MusnahShukriyahRahal@teleworm.us,Extry1958,"077 8805 5574",44,9/2/1958,60,Virgo,"GG 43 33 19",Translator,"Food Barn"
76,female,Arabic,Mrs.,Wa'd,L,Naifeh,GB,"United Kingdom","46 Kent Street",CROMFORD,,,"DE4 1NP",WadLamisNaifeh@cuvox.de,Drehanstered,"070 3853 8351",44,10/22/1946,72,Libra,"BR 52 84 77 C",Audiologist,"La Petite Boulangerie"
77,female,Arabic,Mrs.,Lutfiyah,W,Baz,GB,"United Kingdom","71 Peachfield Road","CHALFONT COMMON",,,"SL9 2QA",LutfiyahWarqaBaz@fleckens.hu,Patrubtim,"077 8650 5474",44,11/13/1936,82,Scorpio,"GA 71 35 68 D","Industrial relations director","Canal Villere"
78,male,American,Mr.,Stephen,M,Odom,GB,"United Kingdom","87 Greyfriars Road",CARDINGTON,,,"MK44 8QB",StephenMOdom@fleckens.hu,Withanot,"070 1115 3019",44,2/18/1960,59,Aquarius,"BM 55 93 82 B","Image designer",CompuAdd
79,female,Arabic,Ms.,'Adn,,Samaha,GB,"United Kingdom","13 Dunmow Road",GRIMNESS,,,"KW17 3UA",AdnAdnSamaha@einrot.com,Postartaing,"078 7386 4988",44,5/1/1970,49,Taurus,"WX 71 36 39 C","Lobby attendant",Sandy's
80,female,England/Wales,Mrs.,Zara,J,Sims,GB,"United Kingdom","50 Old Chapel Road",GATESIDE,,,"KY14 6BQ",ZaraSims@fleckens.hu,Weaten,"078 2144 8598",44,6/12/1954,65,Gemini,"HH 11 89 92 A","Placement counselor",Playworld
81,male,England/Wales,Mr.,Peter,L,Lowe,GB,"United Kingdom","93 Kent Street","CROSS HANDS",,,"SA14 3HR",PeterLowe@teleworm.us,Theavizar,"078 6602 6670",44,12/22/1967,51,Capricorn,"LM 69 80 81 C","Refuge manager","Service Merchandise"
82,male,Arabic,Mr.,Muhsin,M,Salib,GB,"United Kingdom","36 Terrick Rd",ELDRICK,,,"KA26 3WL",MuhsinMunibSalib@fleckens.hu,Quich1981,"079 6099 3558",44,12/15/1981,37,Sagittarius,"XL 46 41 01","Apartment house manager","Champion Auto"
83,male,Arabic,Mr.,Hanbal,M,Aswad,GB,"United Kingdom","65 Lairg Road",NEWCHURCH,,,"BB12 4QR",HanbalMaridAswad@rhyta.com,Sultouddly1994,"070 5889 9750",44,12/19/1994,24,Sagittarius,"AL 95 83 57 A","Animal care and service worker","Signa Air"
84,male,England/Wales,Mr.,Corey,A,Naylor,GB,"United Kingdom","70 Seaford Road",CULBOKIE,,,"IV7 8SS",CoreyNaylor@gustr.com,Fordece,"078 5455 6203",44,2/18/1954,65,Aquarius,"XK 82 99 46 D","Ambulance dispatcher","Peter Reeves"
85,female,England/Wales,Mrs.,Francesca,H,Lee,GB,"United Kingdom","71 Exning Road",HARLOW,,,"CM17 5XS",FrancescaLee@jourrapide.com,Brose1956,"070 6955 0963",44,2/9/1956,63,Aquarius,"AS 80 33 59 D","Water transportation master","Morrie Mages"
86,female,Arabic,Mrs.,Aalaa,A,Shamoon,GB,"United Kingdom","4 Circle Way",CALEDON,,,"BT68 5DU",AalaaAzeezaShamoon@rhyta.com,Busucher1946,"077 1520 7005",44,2/10/1946,73,Aquarius,"KW 35 18 60 D","Gaming supervisor","Sure Save"
87,female,American,Ms.,Pauline,J,Britt,GB,"United Kingdom","18 Asfordby Rd",ALDEBURGH,,,"IP15 2NB",PaulineJBritt@gustr.com,Wered1982,"078 7737 0682",44,11/27/1982,36,Sagittarius,"LH 82 33 98 B","Animal breeder",Almacs
88,female,American,Ms.,Lisa,M,Torres,GB,"United Kingdom","89 Castledore Road",TWYFORD,,,"SP7 4JL",LisaMTorres@dayrep.com,Jectle,"079 3972 9932",44,2/25/1985,34,Pisces,"LT 05 23 80 C","Job placement officer",Nobil
89,male,American,Mr.,John,P,Browning,GB,"United Kingdom","84 Warner Close",HAWBRIDGE,,,"WR8 0GW",JohnPBrowning@cuvox.de,Resuresse99,"078 1291 1576",44,2/14/1999,20,Aquarius,"YJ 67 96 57 B","Support service manager","Ruehl No. 925"
90,female,American,Mrs.,Maggie,J,Johnson,GB,"United Kingdom","36 Thompsons Lane",MELLING,,,"L31 3LH",MaggieJJohnson@superrito.com,Twongive57,"078 1083 7806",44,8/9/1957,61,Leo,"LB 50 52 12 A","Land surveyor",Hill-Behan
91,male,American,Mr.,Johnny,J,Owens,GB,"United Kingdom","5 Nith Street",GLASTERLAW,,,"DD11 0BG",JohnnyJOwens@gustr.com,Therens,"078 0224 0356",44,8/28/1985,33,Virgo,"GZ 61 51 05 A",Custodian,"Mars Music"
92,male,Arabic,Mr.,Munif,N,Sabbag,GB,"United Kingdom","16 Sloe Lane",CRUG,,,"LD1 3ST",MunifNadeemSabbag@cuvox.de,Prother,"078 2829 8239",44,8/23/1993,25,Virgo,"RW 52 91 67",Fumigator,Patterson-Fletcher
93,male,Arabic,Mr.,Abdul-Hasib,T,Salib,GB,"United Kingdom","11 Hudson St",DUMEATH,,,"AB54 7PS",Abdul-HasibTaymullahSalib@rhyta.com,Flught,"077 1392 0066",44,9/15/1972,46,Virgo,"NP 90 47 29 C","Word processor","Gold Leaf Garden Management"
94,female,England/Wales,Mrs.,Holly,K,Townsend,GB,"United Kingdom","43 Redcliffe Way",WOODLAND,,,"DL13 5JS",HollyTownsend@gustr.com,Worlse1998,"070 6420 8276",44,9/17/1998,20,Virgo,"OW 44 89 75","Claims examiner","Argus Tapes & Records"
95,female,England/Wales,Ms.,Eleanor,D,Lloyd,GB,"United Kingdom","29 Scrimshire Lane",ASTWICK,,,"SG5 5QH",EleanorLloyd@armyspy.com,Prippir,"078 7350 1780",44,10/27/1952,66,Scorpio,"SL 65 59 99 D","Multiple machine tool setter",BASCO
96,male,England/Wales,Mr.,Ethan,A,Warren,GB,"United Kingdom","13 Argyll Street",STADDLETHORPE,,,"HU15 9DJ",EthanWarren@superrito.com,Thenceacin,"078 1100 5117",44,8/29/1978,40,Virgo,"HY 78 54 21 C",Silversmith,"Frame Scene"
97,female,American,Mrs.,Traci,E,Beck,GB,"United Kingdom","56 St Denys Road",POYNTZFIELD,,,"IV7 0RF",TraciEBeck@jourrapide.com,Wilbeend,"078 3120 0423",44,10/18/1971,47,Libra,"AB 04 64 86 B","Merchandise displayer","Strategy Consulting"
